HHID,HV000,HV001,HV002,HV003,HV004,HV005,HA35
        1 27,ET6,1,27,1,1,1707326,0
        1 67,ET6,1,67,1,1,1707326,0
        1225,ET6,1,225,1,1,1707326,0
        1264,ET6,1,264,2,1,1707326,0
        1275,ET6,1,275,1,1,1707326,
        1285,ET6,1,285,2,1,1707326,0
        1302,ET6,1,302,1,1,1707326,0
        1310,ET6,1,310,1,1,1707326,0
        1322,ET6,1,322,2,1,1707326,0
        1330,ET6,1,330,1,1,1707326,0
        1353,ET6,1,353,1,1,1707326,0
        1377,ET6,1,377,2,1,1707326,0
        1424,ET6,1,424,1,1,1707326,
        1435,ET6,1,435,1,1,1707326,
        1463,ET6,1,463,2,1,1707326,0
        1510,ET6,1,510,1,1,1707326,0
        1527,ET6,1,527,1,1,1707326,0
        1566,ET6,1,566,1,1,1707326,0
        1606,ET6,1,606,1,1,1707326,0
        1622,ET6,1,622,2,1,1707326,0
        1653,ET6,1,653,1,1,1707326,
        1666,ET6,1,666,1,1,1707326,0
        1686,ET6,1,686,2,1,1707326,99
        1701,ET6,1,701,1,1,1707326,0
        1755,ET6,1,755,1,1,1707326,
        1775,ET6,1,775,1,1,1707326,
        1782,ET6,1,782,2,1,1707326,0
        1812,ET6,1,812,1,1,1707326,
        1862,ET6,1,862,1,1,1707326,0
        1879,ET6,1,879,1,1,1707326,0
        2 26,ET6,2,26,5,2,429143,0
        2 71,ET6,2,71,1,2,429143,
        2 87,ET6,2,87,1,2,429143,
        2 96,ET6,2,96,1,2,429143,99
        2 98,ET6,2,98,3,2,429143,0
        2109,ET6,2,109,1,2,429143,0
        2110,ET6,2,110,2,2,429143,0
        2140,ET6,2,140,2,2,429143,0
        2158,ET6,2,158,1,2,429143,0
        2174,ET6,2,174,3,2,429143,0
        2230,ET6,2,230,2,2,429143,0
        2251,ET6,2,251,1,2,429143,0
        2305,ET6,2,305,2,2,429143,0
        2317,ET6,2,317,1,2,429143,
        2355,ET6,2,355,1,2,429143,99
        2412,ET6,2,412,1,2,429143,0
        2422,ET6,2,422,2,2,429143,0
        2451,ET6,2,451,1,2,429143,0
        2462,ET6,2,462,1,2,429143,
        2476,ET6,2,476,1,2,429143,0
        2512,ET6,2,512,1,2,429143,0
        2589,ET6,2,589,1,2,429143,
        2595,ET6,2,595,2,2,429143,0
        2682,ET6,2,682,1,2,429143,0
        2724,ET6,2,724,1,2,429143,
        2748,ET6,2,748,1,2,429143,0
        2857,ET6,2,857,2,2,429143,0
        2867,ET6,2,867,3,2,429143,0
        2889,ET6,2,889,2,2,429143,0
        3  9,ET6,3,9,2,3,35175,0
        3129,ET6,3,129,1,3,35175,0
        3131,ET6,3,131,1,3,35175,0
        3185,ET6,3,185,1,3,35175,
        3187,ET6,3,187,1,3,35175,
        3243,ET6,3,243,2,3,35175,0
        3262,ET6,3,262,5,3,35175,99
        3317,ET6,3,317,1,3,35175,0
        3318,ET6,3,318,2,3,35175,0
        3325,ET6,3,325,1,3,35175,0
        3346,ET6,3,346,2,3,35175,
        3366,ET6,3,366,2,3,35175,0
        3377,ET6,3,377,1,3,35175,0
        3414,ET6,3,414,1,3,35175,
        3483,ET6,3,483,3,3,35175,99
        3491,ET6,3,491,1,3,35175,0
        3514,ET6,3,514,2,3,35175,0
        3521,ET6,3,521,1,3,35175,0
        3564,ET6,3,564,2,3,35175,0
        3566,ET6,3,566,1,3,35175,0
        3593,ET6,3,593,2,3,35175,0
        3606,ET6,3,606,1,3,35175,0
        3642,ET6,3,642,2,3,35175,0
        3723,ET6,3,723,2,3,35175,0
        3751,ET6,3,751,1,3,35175,99
        3769,ET6,3,769,1,3,35175,
        3795,ET6,3,795,1,3,35175,0
        3809,ET6,3,809,1,3,35175,
        3860,ET6,3,860,2,3,35175,0
        3866,ET6,3,866,2,3,35175,0
        4 99,ET6,4,99,2,4,29228,0
        4119,ET6,4,119,1,4,29228,0
        4131,ET6,4,131,2,4,29228,99
        4133,ET6,4,133,2,4,29228,0
        4180,ET6,4,180,2,4,29228,0
        4224,ET6,4,224,1,4,29228,22
        4318,ET6,4,318,2,4,29228,
        4351,ET6,4,351,1,4,29228,0
        4364,ET6,4,364,1,4,29228,
        4373,ET6,4,373,1,4,29228,0
        4380,ET6,4,380,1,4,29228,0
        4409,ET6,4,409,1,4,29228,
        4496,ET6,4,496,1,4,29228,0
        4497,ET6,4,497,2,4,29228,0
        4530,ET6,4,530,2,4,29228,0
        4531,ET6,4,531,2,4,29228,0
        4532,ET6,4,532,2,4,29228,0
        4545,ET6,4,545,3,4,29228,0
        4613,ET6,4,613,1,4,29228,0
        4643,ET6,4,643,1,4,29228,99
        4718,ET6,4,718,3,4,29228,0
        4760,ET6,4,760,1,4,29228,99
        4779,ET6,4,779,2,4,29228,0
        4807,ET6,4,807,1,4,29228,
        4812,ET6,4,812,1,4,29228,0
        4841,ET6,4,841,2,4,29228,0
        4844,ET6,4,844,2,4,29228,
        4886,ET6,4,886,1,4,29228,0
        5  9,ET6,5,9,2,5,341036,0
        5 20,ET6,5,20,2,5,341036,0
        5 68,ET6,5,68,1,5,341036,0
        5 96,ET6,5,96,1,5,341036,0
        5138,ET6,5,138,1,5,341036,0
        5166,ET6,5,166,1,5,341036,0
        5206,ET6,5,206,1,5,341036,
        5284,ET6,5,284,1,5,341036,0
        5459,ET6,5,459,1,5,341036,0
        5479,ET6,5,479,1,5,341036,
        5541,ET6,5,541,1,5,341036,0
        5673,ET6,5,673,1,5,341036,0
        5701,ET6,5,701,2,5,341036,0
        5712,ET6,5,712,1,5,341036,0
        5729,ET6,5,729,2,5,341036,0
        5731,ET6,5,731,1,5,341036,0
        5734,ET6,5,734,2,5,341036,
        5747,ET6,5,747,1,5,341036,0
        5756,ET6,5,756,2,5,341036,0
        5774,ET6,5,774,2,5,341036,0
        5783,ET6,5,783,1,5,341036,0
        5793,ET6,5,793,1,5,341036,0
        5847,ET6,5,847,2,5,341036,0
        5851,ET6,5,851,1,5,341036,0
        5870,ET6,5,870,1,5,341036,0
        5872,ET6,5,872,2,5,341036,0
        6 51,ET6,6,51,4,6,145186,0
        6 70,ET6,6,70,1,6,145186,0
        6115,ET6,6,115,2,6,145186,0
        6136,ET6,6,136,2,6,145186,0
        6174,ET6,6,174,2,6,145186,
        6185,ET6,6,185,1,6,145186,0
        6209,ET6,6,209,1,6,145186,0
        6222,ET6,6,222,1,6,145186,
        6308,ET6,6,308,1,6,145186,0
        6317,ET6,6,317,2,6,145186,0
        6346,ET6,6,346,1,6,145186,0
        6387,ET6,6,387,1,6,145186,
        6394,ET6,6,394,2,6,145186,
        6432,ET6,6,432,2,6,145186,0
        6435,ET6,6,435,1,6,145186,0
        6441,ET6,6,441,2,6,145186,
        6505,ET6,6,505,1,6,145186,99
        6506,ET6,6,506,1,6,145186,0
        6513,ET6,6,513,2,6,145186,0
        6600,ET6,6,600,1,6,145186,0
        6638,ET6,6,638,3,6,145186,0
        6658,ET6,6,658,1,6,145186,0
        6664,ET6,6,664,2,6,145186,0
        6667,ET6,6,667,1,6,145186,0
        6699,ET6,6,699,1,6,145186,0
        6798,ET6,6,798,1,6,145186,0
        6847,ET6,6,847,2,6,145186,99
        7  1,ET6,7,1,2,7,2413874,0
        7 77,ET6,7,77,2,7,2413874,0
        7135,ET6,7,135,1,7,2413874,0
        7165,ET6,7,165,1,7,2413874,0
        7191,ET6,7,191,1,7,2413874,0
        7220,ET6,7,220,1,7,2413874,0
        7228,ET6,7,228,1,7,2413874,0
        7234,ET6,7,234,1,7,2413874,0
        7244,ET6,7,244,1,7,2413874,
        7331,ET6,7,331,1,7,2413874,99
        7350,ET6,7,350,1,7,2413874,0
        7496,ET6,7,496,2,7,2413874,0
        7498,ET6,7,498,1,7,2413874,0
        7514,ET6,7,514,1,7,2413874,0
        7579,ET6,7,579,1,7,2413874,0
        7613,ET6,7,613,1,7,2413874,0
        7631,ET6,7,631,1,7,2413874,0
        7657,ET6,7,657,1,7,2413874,1
        7669,ET6,7,669,1,7,2413874,0
        7701,ET6,7,701,2,7,2413874,0
        7717,ET6,7,717,1,7,2413874,0
        7745,ET6,7,745,2,7,2413874,0
        7746,ET6,7,746,1,7,2413874,99
        7747,ET6,7,747,2,7,2413874,0
        7754,ET6,7,754,1,7,2413874,0
        7780,ET6,7,780,1,7,2413874,0
        7800,ET6,7,800,1,7,2413874,0
        7809,ET6,7,809,2,7,2413874,99
        7815,ET6,7,815,2,7,2413874,0
        7819,ET6,7,819,1,7,2413874,0
        8  8,ET6,8,8,1,8,1503445,
        8 27,ET6,8,27,1,8,1503445,0
        8 58,ET6,8,58,1,8,1503445,
        8102,ET6,8,102,2,8,1503445,0
        8109,ET6,8,109,2,8,1503445,0
        8136,ET6,8,136,1,8,1503445,0
        8161,ET6,8,161,1,8,1503445,0
        8421,ET6,8,421,2,8,1503445,0
        8426,ET6,8,426,1,8,1503445,
        8429,ET6,8,429,1,8,1503445,0
        8449,ET6,8,449,2,8,1503445,
        8454,ET6,8,454,1,8,1503445,0
        8457,ET6,8,457,2,8,1503445,0
        8480,ET6,8,480,1,8,1503445,
        8489,ET6,8,489,1,8,1503445,0
        8499,ET6,8,499,1,8,1503445,0
        8510,ET6,8,510,2,8,1503445,0
        8515,ET6,8,515,2,8,1503445,0
        8526,ET6,8,526,1,8,1503445,0
        8545,ET6,8,545,1,8,1503445,
        8579,ET6,8,579,1,8,1503445,
        8668,ET6,8,668,2,8,1503445,0
        8670,ET6,8,670,1,8,1503445,0
        8694,ET6,8,694,2,8,1503445,0
        8724,ET6,8,724,1,8,1503445,
        8746,ET6,8,746,2,8,1503445,0
        8815,ET6,8,815,1,8,1503445,0
        8835,ET6,8,835,1,8,1503445,0
        8847,ET6,8,847,1,8,1503445,0
        9 15,ET6,9,15,3,9,523624,0
        9 37,ET6,9,37,1,9,523624,0
        9 69,ET6,9,69,1,9,523624,
        9110,ET6,9,110,1,9,523624,0
        9111,ET6,9,111,1,9,523624,
        9155,ET6,9,155,1,9,523624,0
        9236,ET6,9,236,2,9,523624,0
        9297,ET6,9,297,1,9,523624,0
        9304,ET6,9,304,1,9,523624,0
        9347,ET6,9,347,2,9,523624,
        9458,ET6,9,458,1,9,523624,0
        9468,ET6,9,468,1,9,523624,0
        9476,ET6,9,476,1,9,523624,0
        9490,ET6,9,490,1,9,523624,0
        9506,ET6,9,506,4,9,523624,0
        9543,ET6,9,543,2,9,523624,
        9559,ET6,9,559,1,9,523624,99
        9561,ET6,9,561,2,9,523624,0
        9602,ET6,9,602,2,9,523624,
        9628,ET6,9,628,1,9,523624,0
        9635,ET6,9,635,2,9,523624,0
        9656,ET6,9,656,1,9,523624,
        9767,ET6,9,767,1,9,523624,0
        9768,ET6,9,768,1,9,523624,
        9798,ET6,9,798,1,9,523624,0
        9870,ET6,9,870,3,9,523624,0
       10 40,ET6,10,40,1,10,3507457,0
       10 46,ET6,10,46,2,10,3507457,0
       10 74,ET6,10,74,1,10,3507457,0
       10 97,ET6,10,97,2,10,3507457,0
       10142,ET6,10,142,1,10,3507457,0
       10230,ET6,10,230,2,10,3507457,0
       10238,ET6,10,238,1,10,3507457,
       10247,ET6,10,247,1,10,3507457,0
       10309,ET6,10,309,1,10,3507457,0
       10315,ET6,10,315,1,10,3507457,0
       10351,ET6,10,351,1,10,3507457,0
       10370,ET6,10,370,1,10,3507457,0
       10402,ET6,10,402,1,10,3507457,0
       10432,ET6,10,432,1,10,3507457,0
       10441,ET6,10,441,2,10,3507457,0
       10455,ET6,10,455,2,10,3507457,0
       10559,ET6,10,559,1,10,3507457,0
       10561,ET6,10,561,1,10,3507457,99
       10577,ET6,10,577,1,10,3507457,0
       10619,ET6,10,619,2,10,3507457,0
       10625,ET6,10,625,1,10,3507457,
       10659,ET6,10,659,1,10,3507457,0
       10687,ET6,10,687,1,10,3507457,0
       10721,ET6,10,721,1,10,3507457,
       10723,ET6,10,723,1,10,3507457,0
       10744,ET6,10,744,1,10,3507457,0
       10825,ET6,10,825,1,10,3507457,
       10829,ET6,10,829,1,10,3507457,
       10844,ET6,10,844,1,10,3507457,0
       12 40,ET6,12,40,1,12,1466606,0
       12 73,ET6,12,73,4,12,1466606,0
       12 82,ET6,12,82,1,12,1466606,
       12 94,ET6,12,94,2,12,1466606,0
       12140,ET6,12,140,2,12,1466606,
       12143,ET6,12,143,1,12,1466606,0
       12179,ET6,12,179,1,12,1466606,0
       12181,ET6,12,181,1,12,1466606,0
       12243,ET6,12,243,1,12,1466606,0
       12302,ET6,12,302,1,12,1466606,0
       12309,ET6,12,309,2,12,1466606,0
       12313,ET6,12,313,1,12,1466606,0
       12363,ET6,12,363,1,12,1466606,
       12404,ET6,12,404,3,12,1466606,0
       12408,ET6,12,408,1,12,1466606,0
       12415,ET6,12,415,1,12,1466606,0
       12421,ET6,12,421,1,12,1466606,
       12429,ET6,12,429,2,12,1466606,0
       12473,ET6,12,473,1,12,1466606,0
       12515,ET6,12,515,2,12,1466606,0
       12540,ET6,12,540,4,12,1466606,0
       12594,ET6,12,594,1,12,1466606,0
       12613,ET6,12,613,3,12,1466606,0
       12700,ET6,12,700,2,12,1466606,0
       12709,ET6,12,709,1,12,1466606,0
       12713,ET6,12,713,2,12,1466606,
       12835,ET6,12,835,1,12,1466606,0
       12843,ET6,12,843,2,12,1466606,
       12845,ET6,12,845,1,12,1466606,0
       12872,ET6,12,872,2,12,1466606,0
       14 64,ET6,14,64,1,14,1485030,0
       14170,ET6,14,170,1,14,1485030,0
       14202,ET6,14,202,1,14,1485030,0
       14228,ET6,14,228,1,14,1485030,0
       14229,ET6,14,229,1,14,1485030,0
       14251,ET6,14,251,1,14,1485030,0
       14253,ET6,14,253,2,14,1485030,0
       14259,ET6,14,259,1,14,1485030,0
       14268,ET6,14,268,2,14,1485030,0
       14393,ET6,14,393,1,14,1485030,
       14404,ET6,14,404,2,14,1485030,0
       14469,ET6,14,469,1,14,1485030,0
       14493,ET6,14,493,2,14,1485030,0
       14525,ET6,14,525,1,14,1485030,0
       14560,ET6,14,560,4,14,1485030,0
       14625,ET6,14,625,1,14,1485030,0
       14634,ET6,14,634,1,14,1485030,0
       14639,ET6,14,639,2,14,1485030,0
       14650,ET6,14,650,1,14,1485030,0
       14665,ET6,14,665,1,14,1485030,0
       14695,ET6,14,695,1,14,1485030,
       14715,ET6,14,715,1,14,1485030,0
       14783,ET6,14,783,1,14,1485030,0
       14787,ET6,14,787,2,14,1485030,0
       14815,ET6,14,815,1,14,1485030,0
       14823,ET6,14,823,1,14,1485030,
       14873,ET6,14,873,1,14,1485030,0
       14876,ET6,14,876,1,14,1485030,0
       16  2,ET6,16,2,2,16,1746223,0
       16  4,ET6,16,4,1,16,1746223,0
       16 16,ET6,16,16,1,16,1746223,
       16128,ET6,16,128,1,16,1746223,0
       16135,ET6,16,135,1,16,1746223,0
       16156,ET6,16,156,1,16,1746223,
       16166,ET6,16,166,2,16,1746223,0
       16177,ET6,16,177,4,16,1746223,
       16187,ET6,16,187,2,16,1746223,0
       16262,ET6,16,262,1,16,1746223,0
       16286,ET6,16,286,2,16,1746223,0
       16307,ET6,16,307,1,16,1746223,0
       16334,ET6,16,334,5,16,1746223,0
       16350,ET6,16,350,1,16,1746223,
       16419,ET6,16,419,1,16,1746223,0
       16486,ET6,16,486,4,16,1746223,0
       16515,ET6,16,515,1,16,1746223,0
       16549,ET6,16,549,1,16,1746223,0
       16560,ET6,16,560,2,16,1746223,0
       16572,ET6,16,572,1,16,1746223,99
       16586,ET6,16,586,2,16,1746223,0
       16700,ET6,16,700,2,16,1746223,0
       16754,ET6,16,754,1,16,1746223,99
       16787,ET6,16,787,3,16,1746223,0
       16809,ET6,16,809,2,16,1746223,0
       16816,ET6,16,816,1,16,1746223,0
       16820,ET6,16,820,1,16,1746223,0
       16823,ET6,16,823,1,16,1746223,0
       17 48,ET6,17,48,2,17,2537309,0
       17 60,ET6,17,60,1,17,2537309,0
       17 76,ET6,17,76,3,17,2537309,0
       17101,ET6,17,101,1,17,2537309,0
       17110,ET6,17,110,1,17,2537309,0
       17298,ET6,17,298,2,17,2537309,
       17428,ET6,17,428,1,17,2537309,
       17443,ET6,17,443,1,17,2537309,0
       17452,ET6,17,452,1,17,2537309,0
       17475,ET6,17,475,1,17,2537309,0
       17494,ET6,17,494,2,17,2537309,0
       17526,ET6,17,526,1,17,2537309,0
       17534,ET6,17,534,1,17,2537309,0
       17541,ET6,17,541,1,17,2537309,0
       17562,ET6,17,562,1,17,2537309,99
       17572,ET6,17,572,1,17,2537309,0
       17573,ET6,17,573,1,17,2537309,0
       17597,ET6,17,597,2,17,2537309,0
       17663,ET6,17,663,2,17,2537309,0
       17701,ET6,17,701,1,17,2537309,0
       17726,ET6,17,726,3,17,2537309,0
       17740,ET6,17,740,1,17,2537309,0
       17755,ET6,17,755,2,17,2537309,0
       17756,ET6,17,756,2,17,2537309,
       17757,ET6,17,757,1,17,2537309,0
       17758,ET6,17,758,2,17,2537309,0
       17759,ET6,17,759,2,17,2537309,
       17765,ET6,17,765,1,17,2537309,0
       17789,ET6,17,789,2,17,2537309,0
       17826,ET6,17,826,1,17,2537309,0
       18  8,ET6,18,8,2,18,1708248,0
       18 11,ET6,18,11,1,18,1708248,0
       18 13,ET6,18,13,2,18,1708248,0
       18 22,ET6,18,22,2,18,1708248,0
       18 37,ET6,18,37,1,18,1708248,0
       18 56,ET6,18,56,1,18,1708248,0
       18 66,ET6,18,66,2,18,1708248,0
       18213,ET6,18,213,2,18,1708248,
       18232,ET6,18,232,1,18,1708248,0
       18284,ET6,18,284,1,18,1708248,0
       18301,ET6,18,301,2,18,1708248,
       18362,ET6,18,362,2,18,1708248,0
       18376,ET6,18,376,2,18,1708248,0
       18432,ET6,18,432,2,18,1708248,0
       18475,ET6,18,475,2,18,1708248,0
       18494,ET6,18,494,1,18,1708248,0
       18546,ET6,18,546,3,18,1708248,0
       18607,ET6,18,607,1,18,1708248,0
       18627,ET6,18,627,1,18,1708248,99
       18657,ET6,18,657,2,18,1708248,0
       18670,ET6,18,670,1,18,1708248,0
       18672,ET6,18,672,1,18,1708248,0
       18705,ET6,18,705,1,18,1708248,0
       18712,ET6,18,712,2,18,1708248,0
       18771,ET6,18,771,1,18,1708248,
       18829,ET6,18,829,2,18,1708248,0
       18833,ET6,18,833,1,18,1708248,0
       18865,ET6,18,865,2,18,1708248,0
       18874,ET6,18,874,1,18,1708248,0
       19 80,ET6,19,80,1,19,859564,0
       19 85,ET6,19,85,2,19,859564,0
       19 98,ET6,19,98,1,19,859564,0
       19171,ET6,19,171,1,19,859564,0
       19213,ET6,19,213,1,19,859564,0
       19238,ET6,19,238,2,19,859564,0
       19247,ET6,19,247,2,19,859564,0
       19250,ET6,19,250,2,19,859564,0
       19284,ET6,19,284,1,19,859564,0
       19368,ET6,19,368,1,19,859564,
       19387,ET6,19,387,1,19,859564,0
       19435,ET6,19,435,1,19,859564,0
       19438,ET6,19,438,4,19,859564,0
       19468,ET6,19,468,2,19,859564,0
       19495,ET6,19,495,3,19,859564,0
       19517,ET6,19,517,2,19,859564,0
       19533,ET6,19,533,1,19,859564,0
       19547,ET6,19,547,1,19,859564,0
       19579,ET6,19,579,2,19,859564,0
       19607,ET6,19,607,2,19,859564,0
       19614,ET6,19,614,1,19,859564,0
       19721,ET6,19,721,1,19,859564,0
       19722,ET6,19,722,1,19,859564,0
       19777,ET6,19,777,1,19,859564,
       19793,ET6,19,793,2,19,859564,0
       19828,ET6,19,828,2,19,859564,0
       19830,ET6,19,830,1,19,859564,
       20 14,ET6,20,14,8,20,1849270,99
       20 51,ET6,20,51,2,20,1849270,
       20 58,ET6,20,58,1,20,1849270,0
       20 79,ET6,20,79,2,20,1849270,0
       20 82,ET6,20,82,1,20,1849270,0
       20 83,ET6,20,83,1,20,1849270,
       20 88,ET6,20,88,1,20,1849270,0
       20 98,ET6,20,98,6,20,1849270,0
       20198,ET6,20,198,1,20,1849270,0
       20282,ET6,20,282,2,20,1849270,0
       20287,ET6,20,287,1,20,1849270,99
       20342,ET6,20,342,1,20,1849270,0
       20443,ET6,20,443,1,20,1849270,0
       20447,ET6,20,447,1,20,1849270,0
       20456,ET6,20,456,1,20,1849270,0
       20457,ET6,20,457,1,20,1849270,0
       20496,ET6,20,496,1,20,1849270,0
       20510,ET6,20,510,1,20,1849270,0
       20531,ET6,20,531,2,20,1849270,0
       20533,ET6,20,533,1,20,1849270,0
       20558,ET6,20,558,1,20,1849270,
       20582,ET6,20,582,1,20,1849270,0
       20595,ET6,20,595,1,20,1849270,
       20647,ET6,20,647,1,20,1849270,
       20656,ET6,20,656,2,20,1849270,0
       20718,ET6,20,718,1,20,1849270,
       20721,ET6,20,721,1,20,1849270,0
       20744,ET6,20,744,1,20,1849270,
       20803,ET6,20,803,2,20,1849270,0
       20864,ET6,20,864,1,20,1849270,0
       21 23,ET6,21,23,1,21,176213,0
       21 39,ET6,21,39,1,21,176213,0
       21 53,ET6,21,53,1,21,176213,0
       21 60,ET6,21,60,1,21,176213,0
       21 98,ET6,21,98,1,21,176213,0
       21200,ET6,21,200,1,21,176213,99
       21222,ET6,21,222,1,21,176213,0
       21290,ET6,21,290,1,21,176213,
       21294,ET6,21,294,1,21,176213,0
       21312,ET6,21,312,2,21,176213,0
       21330,ET6,21,330,1,21,176213,0
       21335,ET6,21,335,1,21,176213,0
       21400,ET6,21,400,1,21,176213,0
       21450,ET6,21,450,1,21,176213,0
       21458,ET6,21,458,1,21,176213,0
       21591,ET6,21,591,2,21,176213,0
       21634,ET6,21,634,1,21,176213,0
       21635,ET6,21,635,1,21,176213,0
       21636,ET6,21,636,2,21,176213,0
       21637,ET6,21,637,2,21,176213,0
       21692,ET6,21,692,1,21,176213,0
       21710,ET6,21,710,4,21,176213,99
       21732,ET6,21,732,3,21,176213,99
       21784,ET6,21,784,1,21,176213,0
       21797,ET6,21,797,1,21,176213,0
       21843,ET6,21,843,1,21,176213,
       21851,ET6,21,851,1,21,176213,0
       21880,ET6,21,880,2,21,176213,0
       22 33,ET6,22,33,3,22,434935,0
       22 37,ET6,22,37,3,22,434935,0
       22 53,ET6,22,53,1,22,434935,
       22 97,ET6,22,97,1,22,434935,0
       22115,ET6,22,115,2,22,434935,0
       22175,ET6,22,175,2,22,434935,0
       22176,ET6,22,176,1,22,434935,0
       22227,ET6,22,227,2,22,434935,0
       22385,ET6,22,385,2,22,434935,0
       22405,ET6,22,405,1,22,434935,0
       22416,ET6,22,416,2,22,434935,0
       22444,ET6,22,444,1,22,434935,
       22485,ET6,22,485,1,22,434935,
       22488,ET6,22,488,1,22,434935,
       22500,ET6,22,500,1,22,434935,0
       22542,ET6,22,542,2,22,434935,0
       22546,ET6,22,546,2,22,434935,0
       22555,ET6,22,555,3,22,434935,0
       22595,ET6,22,595,4,22,434935,0
       22619,ET6,22,619,5,22,434935,0
       22620,ET6,22,620,2,22,434935,0
       22634,ET6,22,634,6,22,434935,0
       22664,ET6,22,664,1,22,434935,0
       22690,ET6,22,690,1,22,434935,
       22773,ET6,22,773,1,22,434935,
       22797,ET6,22,797,5,22,434935,0
       22801,ET6,22,801,1,22,434935,
       22850,ET6,22,850,1,22,434935,
       22873,ET6,22,873,1,22,434935,
       23 86,ET6,23,86,1,23,425918,0
       23 89,ET6,23,89,1,23,425918,0
       23198,ET6,23,198,1,23,425918,0
       23245,ET6,23,245,1,23,425918,0
       23260,ET6,23,260,1,23,425918,
       23277,ET6,23,277,1,23,425918,0
       23285,ET6,23,285,1,23,425918,
       23331,ET6,23,331,1,23,425918,
       23389,ET6,23,389,1,23,425918,
       23392,ET6,23,392,2,23,425918,0
       23428,ET6,23,428,1,23,425918,0
       23456,ET6,23,456,4,23,425918,99
       23507,ET6,23,507,2,23,425918,0
       23515,ET6,23,515,2,23,425918,99
       23520,ET6,23,520,1,23,425918,0
       23554,ET6,23,554,1,23,425918,0
       23573,ET6,23,573,1,23,425918,0
       23589,ET6,23,589,1,23,425918,99
       23633,ET6,23,633,1,23,425918,
       23672,ET6,23,672,3,23,425918,0
       23691,ET6,23,691,1,23,425918,
       23711,ET6,23,711,2,23,425918,0
       23728,ET6,23,728,2,23,425918,0
       23734,ET6,23,734,2,23,425918,0
       23766,ET6,23,766,2,23,425918,0
       23794,ET6,23,794,1,23,425918,
       23809,ET6,23,809,2,23,425918,0
       23849,ET6,23,849,1,23,425918,0
       23865,ET6,23,865,1,23,425918,
       24  2,ET6,24,2,2,24,423036,
       24 29,ET6,24,29,1,24,423036,
       24 33,ET6,24,33,1,24,423036,0
       24 51,ET6,24,51,2,24,423036,0
       24 56,ET6,24,56,2,24,423036,0
       24 87,ET6,24,87,1,24,423036,0
       24 93,ET6,24,93,2,24,423036,
       24107,ET6,24,107,1,24,423036,
       24128,ET6,24,128,1,24,423036,
       24132,ET6,24,132,1,24,423036,99
       24150,ET6,24,150,1,24,423036,0
       24185,ET6,24,185,2,24,423036,99
       24265,ET6,24,265,4,24,423036,0
       24325,ET6,24,325,2,24,423036,0
       24344,ET6,24,344,2,24,423036,
       24346,ET6,24,346,1,24,423036,0
       24371,ET6,24,371,1,24,423036,
       24386,ET6,24,386,1,24,423036,
       24440,ET6,24,440,3,24,423036,0
       24500,ET6,24,500,6,24,423036,0
       24585,ET6,24,585,1,24,423036,0
       24656,ET6,24,656,3,24,423036,2
       24716,ET6,24,716,1,24,423036,0
       24722,ET6,24,722,6,24,423036,0
       24778,ET6,24,778,1,24,423036,
       24810,ET6,24,810,2,24,423036,0
       24843,ET6,24,843,2,24,423036,0
       24875,ET6,24,875,1,24,423036,0
       25 31,ET6,25,31,1,25,5204,0
       25 88,ET6,25,88,1,25,5204,0
       25100,ET6,25,100,1,25,5204,
       25120,ET6,25,120,1,25,5204,0
       25147,ET6,25,147,1,25,5204,0
       25162,ET6,25,162,1,25,5204,
       25196,ET6,25,196,2,25,5204,
       25258,ET6,25,258,2,25,5204,0
       25269,ET6,25,269,2,25,5204,0
       25307,ET6,25,307,1,25,5204,
       25370,ET6,25,370,1,25,5204,0
       25400,ET6,25,400,1,25,5204,0
       25448,ET6,25,448,1,25,5204,0
       25490,ET6,25,490,3,25,5204,0
       25508,ET6,25,508,2,25,5204,10
       25521,ET6,25,521,3,25,5204,0
       25531,ET6,25,531,1,25,5204,99
       25549,ET6,25,549,1,25,5204,0
       25573,ET6,25,573,1,25,5204,0
       25604,ET6,25,604,1,25,5204,10
       25607,ET6,25,607,1,25,5204,
       25630,ET6,25,630,2,25,5204,0
       25641,ET6,25,641,1,25,5204,
       25642,ET6,25,642,1,25,5204,10
       25654,ET6,25,654,1,25,5204,
       25733,ET6,25,733,2,25,5204,0
       25777,ET6,25,777,1,25,5204,
       25802,ET6,25,802,1,25,5204,0
       25872,ET6,25,872,2,25,5204,0
       25876,ET6,25,876,1,25,5204,0
       26 93,ET6,26,93,1,26,134801,0
       26100,ET6,26,100,2,26,134801,0
       26158,ET6,26,158,1,26,134801,0
       26169,ET6,26,169,1,26,134801,0
       26197,ET6,26,197,2,26,134801,0
       26235,ET6,26,235,2,26,134801,0
       26274,ET6,26,274,1,26,134801,
       26275,ET6,26,275,2,26,134801,0
       26298,ET6,26,298,2,26,134801,0
       26359,ET6,26,359,1,26,134801,
       26370,ET6,26,370,2,26,134801,0
       26373,ET6,26,373,2,26,134801,0
       26427,ET6,26,427,1,26,134801,0
       26435,ET6,26,435,1,26,134801,0
       26450,ET6,26,450,2,26,134801,0
       26465,ET6,26,465,1,26,134801,0
       26483,ET6,26,483,1,26,134801,0
       26536,ET6,26,536,1,26,134801,0
       26543,ET6,26,543,1,26,134801,0
       26551,ET6,26,551,1,26,134801,0
       26574,ET6,26,574,1,26,134801,0
       26612,ET6,26,612,1,26,134801,0
       26635,ET6,26,635,1,26,134801,0
